name,slug,launch_designator,SLC,success,net,window_start,window_end
Falcon 9 Block 5 | Starlink Group 6-16,falcon-9-block-5-starlink-group-6-16,2023-144,Space Launch Complex 40,True,2023-09-16T03:38:20Z,2023-09-16 03:38:20+00:00,2023-09-16 04:07:30+00:00
Electron | We Will Never Desert You (Capella Acadia 2),electron-we-will-never-desert-you-capella-acadia-2,,Space Launch Complex 40,True,2023-09-19T06:55:00Z,2023-09-19 06:33:00+00:00,2023-09-19 06:55:00+00:00
Falcon 9 Block 5 | Starlink Group 6-17,falcon-9-block-5-starlink-group-6-17,2023-146,Space Launch Complex 41,True,2023-09-20T03:38:10Z,2023-09-20 02:47:40+00:00,2023-09-20 05:46:30+00:00
Falcon 9 Block 5 | Starlink Group 6-18,falcon-9-block-5-starlink-group-6-18,2023-147,Space Launch Complex 40,True,2023-09-24T03:38:30Z,2023-09-24 01:07:00+00:00,2023-09-24 04:05:30+00:00
Falcon 9 Block 5 | Starlink Group 6-19,falcon-9-block-5-starlink-group-6-19,2023-151,Space Launch Complex 40,True,2023-09-30T02:00:00Z,2023-09-29 22:39:30+00:00,2023-09-30 02:15:50+00:00
Falcon 9 Block 5 | Starlink Group 6-21,falcon-9-block-5-starlink-group-6-21,2023-153,Space Launch Complex 41,True,2023-10-05T05:36:30Z,2023-10-05 02:45:00+00:00,2023-10-05 05:57:00+00:00
Atlas V 501 | Project Kuiper Protoflight Mission,atlas-v-501-project-kuiper-protoflight-mission,2023-154,Space Launch Complex 40,True,2023-10-06T18:06:00Z,2023-10-06 18:00:00+00:00,2023-10-06 20:00:00+00:00
Falcon Heavy | Psyche,falcon-heavy-psyche,2023-157,Launch Complex 39A,True,2023-10-13T14:19:43Z,2023-10-13 14:19:43+00:00,2023-10-13 14:19:43+00:00
Falcon 9 Block 5 | Starlink Group 6-22,falcon-9-block-5-starlink-group-6-22,2023-158,Space Launch Complex 40,True,2023-10-13T23:01:10Z,2023-10-13 23:01:10+00:00,2023-10-14 02:29:30+00:00
Falcon 9 Block 5 | Starlink Group 6-23,falcon-9-block-5-starlink-group-6-23,2023-160,Space Launch Complex 46,True,2023-10-18T00:39:00Z,2023-10-17 21:20:30+00:00,2023-10-18 00:48:30+00:00
Falcon 9 Block 5 | Starlink Group 6-24,falcon-9-block-5-starlink-group-6-24,2023-162,Space Launch Complex 40,True,2023-10-22T02:17:00Z,2023-10-22 02:17:00+00:00,2023-10-22 06:15:30+00:00
Falcon 9 Block 5 | Starlink Group 6-25,falcon-9-block-5-starlink-group-6-25,2023-167,Space Launch Complex 40,True,2023-10-30T23:20:30Z,2023-10-30 23:20:30+00:00,2023-10-31 02:22:00+00:00
Falcon 9 Block 5 | Starlink Group 6-26,falcon-9-block-5-starlink-group-6-26,2023-170,Space Launch Complex 41,True,2023-11-04T00:37:20Z,2023-11-03 22:30:10+00:00,2023-11-04 02:22:20+00:00
Falcon 9 Block 5 | Starlink Group 6-27,falcon-9-block-5-starlink-group-6-27,2023-171,Space Launch Complex 40,True,2023-11-08T05:05:30Z,2023-11-08 04:31:00+00:00,2023-11-08 07:59:10+00:00
Falcon 9 Block 5 | Dragon CRS-2 SpX-29,falcon-9-block-5-dragon-crs-2-spx-29,2023-173,Launch Complex 39A,True,2023-11-10T01:28:14Z,2023-11-10 01:28:14+00:00,2023-11-10 01:28:14+00:00
Falcon 9 Block 5 | O3b mPower 5 & 6,falcon-9-block-5-o3b-mpower-5-6,2023-175,Space Launch Complex 40,True,2023-11-12T21:08:00Z,2023-11-12 21:08:00+00:00,2023-11-12 22:37:00+00:00
Falcon 9 Block 5 | Starlink Group 6-28,falcon-9-block-5-starlink-group-6-28,2023-177,Space Launch Complex 40,True,2023-11-18T05:05:50Z,2023-11-18 04:00:50+00:00,2023-11-18 07:59:30+00:00
