event_id,launch_designator,mission,pad
ksc-46ad81aaf348,2019-021,Falcon Heavy | Arabsat-6A,SLC-39A
ksc-c497c043cf09,2019-025,Falcon 9 Block 5 | SpX CRS-17,SLC-40
ksc-04708eb3f87c,2019-029,Falcon 9 Block 5 | Starlink Demo (0.9),SLC-40
ksc-d027c26deab2,2019-036,Falcon Heavy | STP-2,SLC-39A
ksc-a952293668ff,,Orion Test Booster | Ascent Abort-2,SLC-46
ksc-4b9c9d604638,2019-044,Falcon 9 Block 5 | SpX CRS-18,SLC-40
ksc-ac1b8564627f,2019-050,Falcon 9 Block 5 | Amos-17,SLC-40
ksc-c76b7e413e85,2019-051,Atlas V 551 | AEHF-5 (USA 292),SLC-41
ksc-f5d8933a6280,2019-056,"Delta IV M+(4,2) | GPS III SV02",SLC-37B
ksc-01f6a847a690,2019-068,Pegasus XL | Ionospheric Connection Explorer (ICON),Cape Canaveral
ksc-ccb9c597c4c6,2019-074,Falcon 9 Block 5 | Starlink 1,SLC-40
ksc-0a3be0762ac4,2019-083,Falcon 9 Block 5 | SpX CRS-19,SLC-40
