eventNumber,firstArrivalDatenum,lastArrivalDatenum,firstArrivalEpochS,lastArrivalEpochS,firstArrivalUTC,lastArrivalUTC,meanCorr,stdCorr,meanSecsDiff,stdSecsDiff,bestBackAzimuthDeg,bestSoundSpeedMps,apparentSpeedMps,apparentSpeedErrorMps,reducedPressure1Pa,reducedPressure2Pa,reducedPressure3Pa,infrasoundEnergyJ,seismicEnergyJ,snr1,snr2,snr3,nAssociatedPicks,nNPhasePicks,nInfrasoundChannelPicks,nSeismicChannelPicks
62,736574.55505566,736574.555055775,1472735956.809,1472735956.819,2016-09-01T13:19:16.809,2016-09-01T13:19:16.819,0.617956185715721,0.164049365596488,-0.00133333333333333,0.0757117340091129,200.1,349.917580766804,362.893695538068,20.0084886246718,46.9682952244658,44.8806257299923,45.1019663786532,307866.881419354,3959.37014175456,3.66611076649917,6.2616838465381,6.21840422481279,2,2,2,0
63,736574.555071123,736574.555072037,1472735958.145,1472735958.224,2016-09-01T13:19:18.145,2016-09-01T13:19:18.224,0.489552643970497,0.253263523686498,-0.0373333333333333,0.0382552828595825,53.3,473.047083716106,-97.9303516823557,751.690293441902,51.1853721433163,34.7227705902087,36.6526730105409,189372.798665303,2036.32910561418,2.8999421204442,6.09765613722323,6.42577812107293,3,3,3,0
64,736574.555079352,736574.55508037,1472735958.856,1472735958.944,2016-09-01T13:19:18.856,2016-09-01T13:19:18.944,0.795148988805617,0.130485516446925,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,60.5070653751552,52.9405463588881,55.6401235062218,643816.286874023,9390.25326238383,4.32723865287575,5.23942792221917,5.55688926471382,4,3,3,1
65,736574.555122963,736574.555126123,1472735962.624,1472735962.897,2016-09-01T13:19:22.624,2016-09-01T13:19:22.897,0.645988469541791,0.064873369093248,-0.124666666666667,0.0843769320766444,55,191.62752984342,30.1126009999773,250.075547688488,63.7224198168663,59.4907940765534,58.8764389086205,398668.836092309,8566.6796455851,4.72905847118857,4.49551890816241,4.4192108387848,8,7,6,2
66,736574.555135833,736574.555136852,1472735963.736,1472735963.824,2016-09-01T13:19:23.736,2016-09-01T13:19:23.824,0.824400584747209,0.0702582510031743,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,51.5246496196359,44.6306985282532,42.4995065327161,495373.250067336,5278.48497172861,4.1443474951425,5.46391768112925,4.79572860265417,3,3,3,0
67,736574.55515088,736574.555151944,1472735965.036,1472735965.128,2016-09-01T13:19:25.036,2016-09-01T13:19:25.128,0.926010398981373,0.0199595674551075,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,98.0789479500706,103.801112813273,99.5847926243484,1558836.11403383,24255.2859991876,6.89621315875003,6.7050598332114,6.535889666836,6,4,3,3
68,736574.555171806,736574.555172778,1472735966.844,1472735966.928,2016-09-01T13:19:26.844,2016-09-01T13:19:26.928,0.853032849784931,0.109579835407652,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,91.3529206042682,93.5594002516002,96.706178432037,1356454.4712351,18355.8234303884,5.04222453936249,6.59468252894198,6.93504383707295,5,4,3,2
69,736574.555200984,736574.555202037,1472735969.365,1472735969.45601,2016-09-01T13:19:29.365,2016-09-01T13:19:29.456,0.85851363279795,0.0707942723188717,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,84.3792041774806,90.3733849612256,85.5025139931676,2030981.9557604,23814.8802302379,4.7974165363622,4.63451572426395,4.59422359747654,6,4,3,3
70,736574.555247407,736574.555248241,1472735973.376,1472735973.448,2016-09-01T13:19:33.376,2016-09-01T13:19:33.448,0.840341324653335,0.07058098992297,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,55.5714039840331,50.8278628781804,48.8559683196044,418633.489537984,4701.74605633335,5.24116543777028,6.49316668470851,6.23911265878731,5,4,3,2
71,736574.555252153,736574.555252211,1472735973.786,1472735973.791,2016-09-01T13:19:33.786,2016-09-01T13:19:33.791,0.437373185275033,0.126973575952199,-0.082,0.104972377318988,196.2,194.66238258438,120.137516093431,209.944127574561,25.6704359768974,18.7461814935656,18.2883055492443,114536.969276924,5187.07003854583,3.55367864800659,2.63894225555423,4.83702294468336,2,2,2,0
72,736574.555351944,736574.555352882,1472735982.408,1472735982.489,2016-09-01T13:19:42.408,2016-09-01T13:19:42.489,0.824405243643281,0.0776265339172129,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,49.9296933714203,46.3895963669447,43.2771923009343,572947.193679556,2313.04015295353,3.72633249644954,5.07096715599078,4.57704159023706,6,4,3,3
73,736574.555420625,736574.555421042,1472735988.342,1472735988.378,2016-09-01T13:19:48.342,2016-09-01T13:19:48.378,0.461245987391746,0.165271053091406,0.0786666666666667,0.0728688319287929,183.7,412.466753290798,207.356351492349,335.554164773974,24.6314518831207,16.5387207322146,12.9955528178885,65770.9944155594,276.718279231138,2.99486385064516,4.48907459307379,3.92065944353614,4,3,2,2
74,736574.555502593,736574.555503611,1472735995.424,1472735995.512,2016-09-01T13:19:55.424,2016-09-01T13:19:55.512,0.804829433206066,0.0937892068822154,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,53.9979959357588,54.8737726942764,54.8252301711339,579570.467275197,4008.59561573194,5.20388779113252,5.80270911019457,5.77747963796703,6,4,3,3
75,736574.555511725,736574.555511852,1472735996.213,1472735996.224,2016-09-01T13:19:56.213,2016-09-01T13:19:56.224,0.748865659682165,0.137773482079519,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,52.191884625396,65.2902257018619,58.2955293718537,699417.268978778,13446.2590761619,3.94731012506757,6.03161991862172,5.47568843492376,2,2,2,0
76,736574.555556215,736574.55555625,1472736000.057,1472736000.06,2016-09-01T13:20:00.057,2016-09-01T13:20:00.060,0.505236173619138,0.110639831788146,-0.00066666666666666,0.0940949874683379,201.2,296.542450402514,326.148049262133,68.1726092433639,28.1308942390209,22.4199867665763,21.2849250705761,69681.7301704357,682.154611204782,3.86890426269585,5.96745075656964,5.73568914920508,2,2,2,0
