launch_designator,window_start,window_end,name,SLC,success
2016-052,2016-08-19 04:47:00+00:00,2016-08-19 05:52:00+00:00,"Delta IV M+(4,2) | AFSPC-6",Space Launch Complex 41,True
,2016-09-03 07:00:00+00:00,2016-09-03 09:00:00+00:00,Falcon 9 Full Thrust | Amos 6 (Failure before launch),Space Launch Complex 40,True
2016-055,2016-09-08 23:05:00+00:00,2016-09-09 01:05:00+00:00,Atlas V 411 | OSIRIS-REx,Space Launch Complex 41,True
2016-071,2016-11-19 22:42:00+00:00,2016-11-19 23:42:00+00:00,Atlas V 541 | GOES-R,Space Launch Complex 41,True
2016-075,2016-12-07 23:53:00+00:00,2016-12-08 00:42:00+00:00,"Delta IV M+(5,4) | WGS-8 (USA-272)",Space Launch Complex 37B,True
2016-078,2016-12-15 13:21:00+00:00,2016-12-15 14:21:00+00:00,Pegasus XL | 8 x CYGNSS,Cape Canaveral,True
2016-079,2016-12-18 18:27:00+00:00,2016-12-18 20:27:00+00:00,Atlas V 431 | Echostar 19 (Jupiter-2),Space Launch Complex 41,True
2017-004,2017-01-21 00:42:00+00:00,2017-01-21 01:22:00+00:00,Atlas V 401 | SBIRS GEO Flight 3 (SBIRS GEO-4),Space Launch Complex 41,True
2017-009,2017-02-19 14:39:00+00:00,2017-02-19 14:39:00+00:00,Falcon 9 Full Thrust | SpX CRS-10,Launch Complex 39A,True
2017-014,2017-03-16 05:35:00+00:00,2017-03-16 08:05:00+00:00,Falcon 9 Full Thrust | Echostar 23,Launch Complex 39A,True
2017-016,2017-03-18 23:44:00+00:00,2017-03-19 00:59:00+00:00,"Delta IV M+(5,4) | WGS-9 (USA-275)",Space Launch Complex 37B,True
2017-017,2017-03-30 22:27:00+00:00,2017-03-31 00:57:00+00:00,Falcon 9 Full Thrust | SES-10,Launch Complex 39A,True
2017-019,2017-04-18 15:11:00+00:00,2017-04-18 15:41:00+00:00,Atlas V 401 | Cygnus CRS OA-7 (S.S. John Glenn),Space Launch Complex 41,True
2017-022,2017-05-01 11:00:00+00:00,2017-05-01 13:00:00+00:00,Falcon 9 Full Thrust | NROL-76,Launch Complex 39A,True
2017-025,2017-05-15 23:21:00+00:00,2017-05-16 00:10:00+00:00,Falcon 9 Full Thrust | Inmarsat-5 F4,Launch Complex 39A,True
2017-030,2017-06-03 21:07:38+00:00,2017-06-03 21:07:38+00:00,Falcon 9 Full Thrust | SpX CRS-11,Launch Complex 39A,True
2017-038,2017-06-23 18:10:00+00:00,2017-06-23 20:10:00+00:00,Falcon 9 Full Thrust | BulgariaSat-1,Launch Complex 39A,True
2017-041,2017-07-05 23:38:00+00:00,2017-07-06 00:35:00+00:00,Falcon 9 Full Thrust | Intelsat 35e,Launch Complex 39A,True
2017-045,2017-08-14 16:31:37+00:00,2017-08-14 16:31:37+00:00,Falcon 9 Block 4 | SpX CRS-12,Launch Complex 39A,True
2017-047,2017-08-18 12:03:00+00:00,2017-08-18 12:43:00+00:00,Atlas V 401 | TDRS-M,Space Launch Complex 41,True
2017-050,2017-08-26 03:15:00+00:00,2017-08-26 07:15:00+00:00,Minotaur IV | ORS-5,Space Launch Complex 46,True
2017-052,2017-09-07 13:50:00+00:00,2017-09-07 18:55:00+00:00,Falcon 9 Block 4 | OTV-5 (X-37B),Launch Complex 39A,True
2017-063,2017-10-11 22:53:00+00:00,2017-10-12 00:53:00+00:00,Falcon 9 Full Thrust | Echostar 105/SES-11,Launch Complex 39A,True
2017-066,2017-10-15 07:28:00+00:00,2017-10-15 07:28:00+00:00,Atlas V 421 | NROL-52,Space Launch Complex 41,True
2017-067,2017-10-30 19:34:00+00:00,2017-10-30 21:58:00+00:00,Falcon 9 Block 4 | Koreasat 5A,Launch Complex 39A,True
2017-080,2017-12-15 15:36:09+00:00,2017-12-15 15:36:09+00:00,Falcon 9 Full Thrust | SpX CRS-13,Space Launch Complex 40,True
2018-001,2018-01-08 01:00:00+00:00,2018-01-08 03:00:00+00:00,Falcon 9 Block 4 | Zuma,Space Launch Complex 40,True
2018-009,2018-01-20 00:48:00+00:00,2018-01-20 01:32:00+00:00,Atlas V 411 | SBIRS GEO Flight 4 (SBIRS GEO-3),Space Launch Complex 41,True
2018-013,2018-01-31 21:25:00+00:00,2018-01-31 23:46:00+00:00,Falcon 9 Full Thrust | GovSat (SES-16),Space Launch Complex 40,True
2018-017,2018-02-06 18:30:00+00:00,2018-02-06 21:00:00+00:00,Falcon Heavy | Demo (Test Flight),Launch Complex 39A,True
2018-022,2018-03-01 22:02:00+00:00,2018-03-02 00:02:00+00:00,Atlas V 541 | GOES-S,Space Launch Complex 41,True
2018-023,2018-03-06 05:33:00+00:00,2018-03-06 07:33:00+00:00,Falcon 9 Block 4 | Hispasat 30W-6 (Hispasat 1F),Space Launch Complex 40,True
2018-032,2018-04-02 20:30:38+00:00,2018-04-02 20:30:38+00:00,Falcon 9 Block 4 | SpX CRS-14,Space Launch Complex 40,True
2018-036,2018-04-14 23:13:00+00:00,2018-04-15 01:11:00+00:00,Atlas V 551 | AFSPC-11,Space Launch Complex 41,True
2018-038,2018-04-18 22:51:31+00:00,2018-04-18 22:52:01+00:00,Falcon 9 Block 4 | TESS (Transiting Exoplanet Survey Satellite),Space Launch Complex 40,True
2018-044,2018-05-11 20:14:00+00:00,2018-05-11 22:21:00+00:00,Falcon 9 Block 5 | Bangabandhu-1,Launch Complex 39A,True
2018-049,2018-06-04 04:29:00+00:00,2018-06-04 08:29:00+00:00,Falcon 9 Block 4 | SES-12,Space Launch Complex 40,True
2018-055,2018-06-29 09:42:41+00:00,2018-06-29 09:42:41+00:00,Falcon 9 Block 4 | SpX CRS-15,Space Launch Complex 40,True
2018-059,2018-07-22 05:50:00+00:00,2018-07-22 09:50:00+00:00,Falcon 9 Block 5 | Telstar 19 VANTAGE,Space Launch Complex 40,True
2018-064,2018-08-07 05:18:00+00:00,2018-08-07 07:18:00+00:00,Falcon 9 Block 5 | Merah Putih (Telkom-4),Space Launch Complex 40,True
2018-065,2018-08-12 07:31:00+00:00,2018-08-12 08:36:00+00:00,Delta IV Heavy | Parker Solar Probe,Space Launch Complex 37B,True
2018-069,2018-09-10 03:28:00+00:00,2018-09-10 07:28:00+00:00,Falcon 9 Block 5 | Telstar 18 VANTAGE,Space Launch Complex 40,True
2018-079,2018-10-17 04:15:00+00:00,2018-10-17 06:15:00+00:00,Atlas V 551 | AEHF-4 (USA 288),Space Launch Complex 41,True
2018-090,2018-11-15 20:46:00+00:00,2018-11-15 22:29:00+00:00,Falcon 9 Block 5 | Es'hail 2,Launch Complex 39A,True
2018-101,2018-12-05 18:16:16+00:00,2018-12-05 18:16:16+00:00,Falcon 9 Block 5 | SpX CRS-16,Space Launch Complex 40,True
2018-109,2018-12-23 13:51:00+00:00,2018-12-23 14:17:00+00:00,Falcon 9 Block 5 | GPS III SV01,Space Launch Complex 40,True
2019-009,2019-02-22 01:45:00+00:00,2019-02-22 02:17:00+00:00,"Falcon 9 Block 5 | Nusantara Satu & GTO-1 (Beresheet, S5)",Space Launch Complex 40,True
2019-011,2019-03-02 07:49:00+00:00,2019-03-02 07:49:00+00:00,Falcon 9 Block 5 | SpX-DM1 (Demonstration Mission 1),Launch Complex 39A,True
2019-014,2019-03-15 22:56:00+00:00,2019-03-16 01:05:00+00:00,"Delta IV M+(5,4) | WGS-10",Space Launch Complex 37B,True
2019-021,2019-04-11 22:35:00+00:00,2019-04-12 00:31:00+00:00,Falcon Heavy | Arabsat-6A,Launch Complex 39A,True
2019-025,2019-05-04 06:48:58+00:00,2019-05-04 06:48:58+00:00,Falcon 9 Block 5 | SpX CRS-17,Space Launch Complex 40,True
2019-029,2019-05-24 02:30:00+00:00,2019-05-24 04:00:00+00:00,Falcon 9 Block 5 | Starlink Demo (0.9),Space Launch Complex 40,True
2019-036,2019-06-25 03:30:00+00:00,2019-06-25 07:30:00+00:00,Falcon Heavy | STP-2,Launch Complex 39A,True
,2019-07-02 11:00:00+00:00,2019-07-02 11:00:00+00:00,Orion Test Booster | Ascent Abort-2,Space Launch Complex 46,True
2019-044,2019-07-25 22:01:56+00:00,2019-07-25 22:01:56+00:00,Falcon 9 Block 5 | SpX CRS-18,Space Launch Complex 40,True
2019-050,2019-08-06 22:53:00+00:00,2019-08-07 00:21:00+00:00,Falcon 9 Block 5 | Amos-17,Space Launch Complex 40,True
2019-051,2019-08-08 09:44:00+00:00,2019-08-08 11:44:00+00:00,Atlas V 551 | AEHF-5 (USA 292),Space Launch Complex 41,True
